,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2315270935960591,0.11883685513040168,0.23316912972085385,0.0,0.0,0.2912621359223301
2,0.2595024875621891,0.4609389760060457,0.3917910447761194,0.3333333333333333,0.0,0.6181434599156118
3,0.30146118721461185,0.5753424657534246,0.1887366818873668,0.5,0.0,0.5894538606403014
4,0.4119831223628692,0.4853007875314394,0.43037974683544306,0.0,0.0,0.9424538545059717
5,0.24825112107623318,0.4776915422885572,0.3755605381165919,0.5,0.0,0.48059701492537316
6,0.4686829268292683,0.45486820348215157,0.23170731707317074,0.5,0.5,0.5083892617449665
7,0.22511111111111112,0.32359234234234235,0.4097222222222222,0.3333333333333333,0.0,0.6148648648648649
8,0.508,0.5718105423987777,0.27065217391304347,0.5,2.0,0.4808823529411765
9,0.7117030567685589,0.578357396793151,0.18777292576419213,0.5,1.5,0.4930167597765363
